Agent,Location IDs,Total Distance (km),Delivery Count
Agent 1,"LOC001, LOC040, LOC046, LOC034, LOC025, LOC007, LOC031, LOC023, LOC009, LOC006, LOC017, LOC024, LOC005, LOC015, LOC030",3655.27,15
Agent 2,"LOC049, LOC037, LOC013, LOC022, LOC019, LOC028, LOC020, LOC029, LOC027",3305.7,9
Agent 3,"LOC010, LOC043, LOC004, LOC002, LOC016, LOC035, LOC038, LOC047, LOC041, LOC044, LOC050, LOC011, LOC003, LOC032, LOC014, LOC026, LOC042, LOC045, LOC048, LOC036, LOC039, LOC012, LOC033, LOC021, LOC008, LOC018",3397.04,26
